target,stage,tissue,f,m,W,p,padj
dsx1,L5-d1,posterior_abdomen,6,5,12,0.6623377,0.999999977777778
dsx1,L5-d6,posterior_abdomen,6,6,18,1,1
dsx1,L5-d1,sternites,6,5,11,0.5367965,0.984126916666667
dsx1,L5-d6,sternites,6,5,13,0.7922078,0.999999977777778
dsx1,L5-d1,viscera,6,6,16,0.8181818,0.999999977777778
dsx1,L5-d6,viscera,4,6,4,0.1142857,0.511160925
dsx1,adult-d1,head,6,6,24,0.1757343,0.511160925
dsx1,adult-d1,thorax,5,5,15,0.4237108,0.93216376
dsx1,adult-d1,legs,5,5,13,1,1
dsx1,adult-d1,gonad,4,4,12,0.1858767,0.511160925
dsx1,adult-d1,terminalia,3,5,3,0.1718573,0.511160925
dsx2,adult-d1,head,6,6,24,0.1757343,0.601052
dsx2,adult-d1,thorax,5,5,15,0.4237108,0.706184666666667
dsx2,adult-d1,legs,5,5,13,1,1
dsx2,adult-d1,gonad,5,4,14,0.2404208,0.601052
dsx2,adult-d1,terminalia,4,5,10,NA,NA
dsx2b,adult-d1,head,6,6,21,0.4046568,1
dsx2b,adult-d1,thorax,5,5,12.5,NA,NA
dsx2b,adult-d1,legs,5,5,12.5,NA,NA
dsx2b,adult-d1,gonad,4,4,10,0.4532547,1
dsx2b,adult-d1,terminalia,2,5,5,NA,NA
dsx3,adult-d1,head,6,6,24,0.1757343,0.3097945
dsx3,adult-d1,thorax,5,5,17.5,0.1797125,0.3097945
dsx3,adult-d1,legs,5,5,13,1,1
dsx3,adult-d1,gonad,4,4,12,0.1858767,0.3097945
dsx3,adult-d1,terminalia,3,5,6,0.6055766,0.75697075
dsx4,adult-d1,head,6,6,15,0.4046568,1
dsx4,adult-d1,thorax,5,5,12.5,NA,NA
dsx4,adult-d1,legs,5,5,12.5,NA,NA
dsx4,adult-d1,gonad,4,4,10,0.4532547,1
dsx4,adult-d1,terminalia,1,5,2,1,1
dsx6,L5-d1,posterior_abdomen,6,5,5,0.08225108,0.301587293333333
dsx6,L5-d6,posterior_abdomen,6,6,13,0.4848485,0.6666666875
dsx6,L5-d1,sternites,6,5,8,0.2467532,0.452380866666667
dsx6,L5-d6,sternites,6,5,14,0.9307359,1
dsx6,L5-d1,viscera,6,6,18,1,1
dsx6,L5-d6,viscera,4,6,3,0.06666667,0.301587293333333
dsx6,adult-d1,head,6,6,24,0.1757343,0.3953675
dsx6,adult-d1,thorax,5,5,14.5,0.7240817,0.884988744444445
dsx6,adult-d1,legs,5,5,17.5,0.1797125,0.3953675
dsx6,adult-d1,gonad,5,4,18,0.04417134,0.301587293333333
dsx6,adult-d1,terminalia,1,5,5,0.3333333,0.523809471428571
ix,adult-d1,head,6,6,18,1,0.59047615
ix,adult-d1,thorax,5,5,20,0.1507937,0.230158683333333
ix,adult-d1,legs,5,5,18,0.3095238,0.047619044
ix,adult-d1,gonad,4,4,11,0.4857143,0.230158683333333
ix,adult-d1,terminalia,3,5,15,0.03571429,1
fru,L5-d1,posterior_abdomen,6,5,11,0.5367965,0.230158683333333
fru,L5-d6,posterior_abdomen,6,6,7,0.09307359,0.2643091
fru,L5-d1,sternites,6,5,0,0.004329004,0.230158683333333
fru,L5-d6,sternites,6,5,6,0.1255411,0.292497944444444
fru,L5-d1,viscera,6,6,18,1,0.2643091
fru,L5-d6,viscera,4,6,3,0.06666667,0.230158683333333
fru,adult-d1,head,6,6,26.5,0.1922248,1
fru,adult-d1,thorax,5,5,20.5,0.1059975,0.37698425
fru,adult-d1,legs,5,5,7,0.2393165,0.515873
fru,adult-d1,gonad,5,4,4,0.1760978,0.607142875
fru,adult-d1,terminalia,4,5,4,0.1094356,0.17857145
