sample_name,individual,instar,day,sex,tissue,plate,dsx1,dsx6,fru,ef1a
003_L4_d5_pAb,003,L4,d5, j,posterior_abdomen,1,1.541863971,2.390917846,2.034640226,3.746914198
004_L4_d5_pAb,004,L4,d5, j,posterior_abdomen,1,2.306020345,3.040420522,2.477936324,3.774674291
005_L4_d5_pAb,005,L4,d5, j,posterior_abdomen,1,2.441783826,3.351537304,2.542755912,4.083601072
006_L4_d5_pAb,006,L4,d5, j,posterior_abdomen,1,2.45421971,3.214455926,2.646973489,3.709052399
007_L4_d5_pAb,007,L4,d5, j,posterior_abdomen,1,2.421787833,2.953031495,2.024996322,3.690841907
012_L5_d1_F_pAb,012,L5,d1,f,posterior_abdomen,1,3.529882123,3.693599927,3.396865794,5.476608014
015_L5_d1_F_pAb,015,L5,d1,f,posterior_abdomen,1,3.605774903,3.911995352,3.189727636,5.30466374
017_L5_d1_F_pAb,017,L5,d1,f,posterior_abdomen,1,3.750304292,4.02189321,3.78150762,5.776997198
021_L5_d1_F_pAb,021,L5,d1,f,posterior_abdomen,1,3.069158331,2.517018364,3.119767885,4.879535253
022_L5_d1_F_pAb,022,L5,d1,f,posterior_abdomen,1,2.978443724,2.816245924,2.973977481,4.614154261
034_L5_d1_F_pAb,034,L5,d1,f,posterior_abdomen,1,1.621776207,0,1.298392006,2.303173829
008_L5_d1_M_pAb,008,L5,d1,m,posterior_abdomen,2,2.343676505,3.73202705,2.077481198,3.665994158
011_L5_d1_M_pAb,011,L5,d1,m,posterior_abdomen,2,3.310114549,3.649066636,3.216284303,4.9321979
013_L5_d1_M_pAb,013,L5,d1,m,posterior_abdomen,2,3.353444358,3.655986149,3.395021889,5.207125918
014_L5_d1_M_pAb,014,L5,d1,m,posterior_abdomen,2,3.420704853,3.356747991,3.501062532,5.437589542
016_L5_d1_M_pAb,016,L5,d1,m,posterior_abdomen,2,3.230702646,3.733925626,3.027481993,4.767518608
019_L5_d6_F_pAb,019,L5,d6,f,posterior_abdomen,3,3.478734249,3.833903047,3.016843884,4.710584331
020_L5_d6_F_pAb,020,L5,d6,f,posterior_abdomen,3,3.583863928,3.658173275,3.440833994,5.045958103
023_L5_d6_F_pAb,023,L5,d6,f,posterior_abdomen,3,2.875227223,3.027014264,2.905168861,4.496338112
024_L5_d6_F_pAb,024,L5,d6,f,posterior_abdomen,3,3.139070234,3.804326658,3.00166308,4.645612884
025_L5_d6_F_pAb,025,L5,d6,f,posterior_abdomen,3,2.964904713,4.138608287,2.473782971,3.757001028
026_L5_d6_F_pAb,026,L5,d6,f,posterior_abdomen,3,1.915435308,3.390722869,2.015182662,3.470394222
027_L5_d6_M_pAb,027,L5,d6,m,posterior_abdomen,3,2.1432216,3.404498978,2.085422873,3.275368323
028_L5_d6_M_pAb,028,L5,d6,m,posterior_abdomen,4,1.505452051,2.346421809,1.888295999,2.665087893
029_L5_d6_M_pAb,029,L5,d6,m,posterior_abdomen,4,2.133553369,3.567040345,2.348663474,3.507303206
031_L5_d6_M_pAb,031,L5,d6,m,posterior_abdomen,4,1.84939472,2.859588663,2.206509238,3.529411393
032_L5_d6_M_pAb,032,L5,d6,m,posterior_abdomen,4,2.007501245,3.608162902,2.426205925,3.290576928
