sample,tissue,instar,day,sex,dsx1,dsx6,fru,dmrt99B1,dmrt99B2,dmrt99B3,dmrt99B5,dmrt93B1,dmrt93B3,dmrt93B4a,dmrt93B4b,dmrt93B5,dsx2,dsx2b,dsx3,dsx4,ix
003_L4_d5_pAb,posterior_abdomen,L4,d5, j,0.8526793263011292,1.0286129059860698,0.9547881477535831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
004_L4_d5_pAb,posterior_abdomen,L4,d5, j,1.005268976496186,1.1574450113336265,1.040891914546508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
005_L4_d5_pAb,posterior_abdomen,L4,d5, j,0.9693875794069172,1.1578988043458114,0.990310139283622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
006_L4_d5_pAb,posterior_abdomen,L4,d5, j,1.049575162787066,1.207104717536479,1.0895159290161465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
007_L4_d5_pAb,posterior_abdomen,L4,d5, j,1.0466283307369473,1.1567080346198093,0.9644086354098085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
012_L5_d1_F_pAb,posterior_abdomen,L5,d1,f,0.9062070546236876,0.9401312379576102,0.8786445646491617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
015_L5_d1_F_pAb,posterior_abdomen,L5,d1,f,0.9575616993319399,1.021014044762081,0.8713519932618201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
017_L5_d1_F_pAb,posterior_abdomen,L5,d1,f,0.8896369833715313,0.9459132833254061,0.8961026663567522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
021_L5_d1_F_pAb,posterior_abdomen,L5,d1,f,0.9344601053532671,0.8200504503929913,0.9449469781697631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
022_L5_d1_F_pAb,posterior_abdomen,L5,d1,f,0.9706529586791857,0.9370437373903456,0.9697275025428093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
034_L5_d1_F_pAb,posterior_abdomen,L5,d1,f,1.1683974036656954,0,1.101388534416398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
008_L5_d1_M_pAb,posterior_abdomen,L5,d1,m,1.035591513879711,1.3232734719172834,0.9804328312156201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
011_L5_d1_M_pAb,posterior_abdomen,L5,d1,m,0.9734766659663263,1.0437113775240487,0.9540339762294725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
013_L5_d1_M_pAb,posterior_abdomen,L5,d1,m,0.9254868938708972,0.9881769796972213,0.9341022292208379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
014_L5_d1_M_pAb,posterior_abdomen,L5,d1,m,0.8916693570264265,0.8784167708144198,0.9083203782842274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
016_L5_d1_M_pAb,posterior_abdomen,L5,d1,m,0.9911450347458205,1.0954185359428124,0.9490354136711847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
019_L5_d6_F_pAb,posterior_abdomen,L5,d6,f,1.054337419269321,1.127932417024366,0.9586285040530351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020_L5_d6_F_pAb,posterior_abdomen,L5,d6,f,1.0066282353464484,1.0220259737075863,0.976990812997106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
023_L5_d6_F_pAb,posterior_abdomen,L5,d6,f,0.9736781711072899,1.0051301652141598,0.9798824176340144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
024_L5_d6_F_pAb,posterior_abdomen,L5,d6,f,0.997418007882041,1.1352666739430994,0.9689456892349588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025_L5_d6_F_pAb,posterior_abdomen,L5,d6,f,1.145459380650449,1.3886640551039149,1.0436933930313903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026_L5_d6_F_pAb,posterior_abdomen,L5,d6,f,0.9873856095957825,1.2930819020382323,1.0080543911301945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027_L5_d6_M_pAb,posterior_abdomen,L5,d6,m,1.0749970845414247,1.3363480430859291,1.0630205336513618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
028_L5_d6_M_pAb,posterior_abdomen,L5,d6,m,1.069301027729888,1.2435594868079038,1.1486306300267448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
029_L5_d6_M_pAb,posterior_abdomen,L5,d6,m,1.0249341828097192,1.3219689205870133,1.0695074330043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
031_L5_d6_M_pAb,posterior_abdomen,L5,d6,m,0.961472225467777,1.1707958523907858,1.0354703984449656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
032_L5_d6_M_pAb,posterior_abdomen,L5,d6,m,1.0437228945367854,1.375398119716623,1.130483246679619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
036_L5_d6_M_pAb,posterior_abdomen,L5,d6,m,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002_L4_d5_vAb,sternites,L4,d5, j,0.8517697245249751,0.7583454911415162,0.9469239530476807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
