specimen.id,treatment,sex,Csize,curvature
T265n10,AmpR,female,253.426298731779,0.0636072521403064
T265n11,AmpR,female,267.820835634571,0.0679453174746295
T265n13,AmpR,female,267.693024854133,0.0620924648723925
T265n14,AmpR,male,268.066326784167,0.0334981153634319
T265n15,AmpR,female,265.271349543988,0.0738592887814434
T265n18,AmpR,female,272.138853447198,0.0664588247553388
T265n19,AmpR,male,275.243730375664,0.0544909760849616
T265n2,AmpR,female,267.254352422723,0.0661827075493506
T265n21,AmpR,male,253.958876811013,0.0454185399027362
T265n22,AmpR,female,227.788034999402,0.0928670200569492
T265n23,AmpR,female,300.068140409622,0.080154464779843
T265n24,AmpR,female,255.862159070943,0.0886811842267602
T265n25,AmpR,female,239.03096099889,0.101913871987587
T265n26,AmpR,male,251.940028137209,0.0488950884359628
T265n3,AmpR,female,295.069106783102,0.069238311563546
T265n5,AmpR,male,239.907389539288,0.0537013567647732
T265n6,AmpR,female,232.547963989272,0.0951564070056145
T265n7,AmpR,male,246.509860068743,0.0430189051459403
T265n8,AmpR,male,236.103555434663,0.0408357400365027
T289n1,AmpR,female,269.567967104567,0.0725684377425988
T289n10,AmpR,male,234.454789874532,0.0366210924632243
T289n11,AmpR,female,195.365185116375,0.0479276267677379
T289n12,AmpR,female,287.107530165577,0.0576092602727662
T289n13,AmpR,female,271.921063893346,0.0592941953274276
T289n14,AmpR,male,247.649870426868,0.0378293132332907
T289n15,AmpR,female,285.411553921701,0.0804093301827871
T289n17,AmpR,female,265.863748360781,0.0706316410145595
T289n18,AmpR,female,258.144977452593,0.0660382581872398
T289n19,AmpR,male,239.718279099539,0.033034072044716
T289n2,AmpR,male,247.490489257444,0.0469423588583916
T289n20,AmpR,female,285.815013990207,0.0784374553170146
T289n21,AmpR,male,276.014775685006,0.048404140218632
T289n3,AmpR,male,274.598224482809,0.0399692814572635
T289n4,AmpR,female,256.315461114273,0.0674050818270453
T289n5,AmpR,female,282.779401962024,0.0829404938490381
T289n6,AmpR,male,265.656001458862,0.0497698557032036
T289n7,AmpR,male,246.774751094551,0.039417251412539
T289n8,AmpR,male,272.589231058178,0.0352467014287479
T289n9,AmpR,male,247.627287334996,0.0424696421680623
T324n11,AmpR,male,258.602326287981,0.040846156228786
T324n12,AmpR,female,317.614371351312,0.0782947460613508
T324n14,AmpR,male,268.938076128234,0.0394394290772264
T324n15,AmpR,male,255.502989762895,0.0449767458104264
T324n16,AmpR,male,308.824323949897,0.0402053387135375
T324n19,AmpR,female,321.90302197332,0.0735411636368684
T324n2,AmpR,male,257.165748540163,0.0296702197192634
T324n21,AmpR,female,315.405911309362,0.0786209503156335
T324n22,AmpR,male,265.57181196733,0.06547488470857
T324n23,AmpR,male,280.253853179974,0.0536422802451588
