specimen.id,treatment,stage,sex,scale.px_mm,px.A3,px.A4,px.A5,px.A6,melanic.px.A3,melanic.px.A4,melanic.px.A5,melanic.px.A6,A3.sq.mm,A4.sq.mm,A5.sq.mm,A6.sq.mm,melanic.A3.sq.mm,melanic.A4.sq.mm,melanic.A5.sq.mm,melanic.A6.sq.mm,A3.melanic,A4.melanic,A5.melanic,A6.melanic,A54.melanic.ratio,overall.melanism
T330n1,none,adult,female,71.41405,19297,19419,16592,12840,3430,13868,5862,3928,3.783750316,3.807672042,3.25335468,2.517663578,0.672553432,2.719233528,1.149419306,0.770201132,0.177747836,0.71414594,0.353302797,0.305919003,0.42269974,0.397487821
T330n10,none,adult,female,72.6658,24537,25654,18427,14340,1982,15207,5872,2674,4.646878791,4.858419061,3.489751619,2.715745277,0.375356146,2.879939918,1.112054133,0.506408847,0.080775971,0.592773057,0.318662832,0.186471409,0.386137963,0.310217218
T330n12,none,adult,female,72.84545667,22004,23166,16486,13004,721,13813,4345,1191,4.146643466,4.365621821,3.106778958,2.450597693,0.135872111,2.603053363,0.818813209,0.224443391,0.03276677,0.596261763,0.263556957,0.091587204,0.314558749,0.268818645
T330n13,none,adult,female,72.47752667,24083,25477,18229,13884,2070,15561,6552,2459,4.584625407,4.849997986,3.47021287,2.643065197,0.394061147,2.962311836,1.247289194,0.468114183,0.085952747,0.610786199,0.359427286,0.177110343,0.421052632,0.326203274
T330n14,none,adult,female,72.08313333,22583,27994,20885,16879,1094,16113,5238,516,4.346246177,5.387628547,4.019454962,3.248474039,0.210547461,3.101052325,1.008087388,0.099307578,0.048443519,0.575587626,0.250802011,0.030570531,0.325079129,0.259913291
T330n15,none,adult,female,73.35438333,25028,23851,17109,13271,351,14778,5465,1387,4.651296292,4.43255825,3.179599979,2.466331832,0.065231141,2.746398298,1.015635857,0.257765221,0.014024293,0.619596663,0.319422526,0.104513601,0.369806469,0.277331281
T330n16,none,adult,female,72.01680667,21290,22834,17367,13148,2048,15121,5808,3512,4.104950656,4.402651164,3.34855228,2.535081786,0.394877358,2.915498303,1.119847506,0.677152969,0.096195397,0.662214242,0.334427362,0.267112869,0.384101581,0.354894894
T330n17,none,adult,female,72.56267333,23132,25609,18683,13391,1159,15307,5491,1408,4.393257253,4.863692071,3.548297823,2.543234821,0.220118674,2.907123844,1.042857322,0.267409053,0.050103752,0.597719552,0.293903549,0.105145247,0.358724766,0.289117119
T330n18,none,adult,female,72.59134333,20001,20619,16585,13066,2104,13747,6432,4042,3.79561403,3.91289264,3.147355567,2.479550669,0.399278632,2.608784865,1.220608442,0.767055243,0.10519474,0.666715166,0.38782032,0.309352518,0.467883902,0.37462111
T330n19,none,adult,female,72.8079,23015,24936,19265,15238,1913,14796,4664,223,4.341641597,4.704026715,3.634226607,2.87455723,0.360875967,2.791176583,0.879835603,0.042067611,0.083119705,0.593358999,0.242097067,0.014634466,0.31522033,0.261915735
T330n2,none,adult,female,72.37710667,27768,28245,20837,16365,3459,19166,7974,2244,5.30080911,5.391866656,3.977706692,3.124018334,0.660310383,3.658718936,1.522207283,0.42837135,0.124567848,0.678562577,0.382684648,0.137121907,0.416049254,0.352335997
T330n20,none,adult,female,73.25866667,24451,25961,19109,13461,1976,15893,5443,2268,4.555946394,4.837304173,3.560573377,2.508183486,0.368187398,2.961337206,1.014192312,0.422595657,0.080814691,0.612187512,0.284839604,0.168486739,0.34247782,0.308259623
T330n21,none,adult,female,73.80172667,21379,23187,16360,12329,5218,15142,7416,2913,3.925132682,4.257077108,3.003656423,2.263574575,0.958012177,2.78003457,1.36155966,0.534819753,0.244071285,0.65303834,0.453300733,0.236272204,0.489763572,0.418933861
T330n22,none,adult,female,73.16915333,21840,25137,17791,13737,885,16353,6281,1181,4.07940266,4.695235561,3.323106809,2.56587703,0.165305465,3.054508777,1.173201836,0.220594072,0.040521978,0.650554959,0.353043674,0.085972192,0.384088546,0.314629641
T330n23,none,adult,female,73.04334667,23495,26868,19158,13846,967,16687,5635,881,4.403663472,5.035864233,3.59078037,2.5951532,0.18124463,3.1276413,1.056167,0.165125666,0.041157693,0.621073396,0.294132999,0.063628485,0.337688021,0.289922871
T330n24,none,adult,female,72.99257333,26747,26068,20275,14570,1863,17193,6262,1565,5.020161954,4.892719999,3.805428034,2.734652846,0.349667691,3.226965435,1.175318883,0.293735875,0.069652671,0.659544269,0.308853268,0.107412491,0.364217996,0.306673511
T330n25,none,adult,female,72.91625,22974,22940,16518,12691,405,14790,4973,680,4.321036812,4.314641963,3.106767914,2.38697128,0.076173932,2.781759138,0.935340649,0.127896972,0.017628624,0.644725371,0.301065504,0.053581278,0.336240703,0.277518203
T330n26,none,adult,male,72.92582667,13536,15194,12777,10116,1738,10360,7343,1797,2.54523346,2.856994474,2.402515361,1.902155857,0.326803764,1.948036248,1.380736503,0.337897793,0.128398345,0.681848098,0.574704547,0.177639383,0.708783784,0.411405769
T330n27,none,adult,male,72.45801667,17995,17885,15293,11955,2519,12889,7949,260,3.427511861,3.406560136,2.912861289,2.277071648,0.47979452,2.454970846,1.51404789,0.049522261,0.139983329,0.720659771,0.519780292,0.021748223,0.616727442,0.374112913
T330n28,none,adult,male,73.52087667,17710,17372,15027,12566,1072,11180,7055,158,3.276402188,3.213871192,2.780039281,2.324747029,0.198323159,2.068332945,1.30519579,0.029230466,0.060530774,0.643564356,0.469488254,0.012573611,0.631037567,0.310570403
